Region,Province,CityMun,MuniPSGC,ActiveCases
Region III: Central Luzon,ZAMBALES,SUBIC,PH037114000,3
Region IV-A: CALABARZON,QUEZON,TAGKAWAYAN,PH045646000,2
Region II: Cagayan Valley,ISABELA,SAN ISIDRO,PH023129000,1
Region II: Cagayan Valley,ISABELA,SAN MANUEL,PH023130000,1
Region VII: Central Visayas,CEBU,LAPU-LAPU CITY (OPON),PH072226000,2
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,MAGSAYSAY,PH175105000,2
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,LEBAK,PH126506000,2
CARAGA,SURIGAO DEL SUR,SAN MIGUEL,PH166816000,1
Region IV-A: CALABARZON,QUEZON,MAUBAN,PH045627000,3
Region VII: Central Visayas,BOHOL,TAGBILARAN CITY (Capital),PH071242000,2
Region V: Bicol Region,SORSOGON,PILAR,PH056213000,1
Region V: Bicol Region,CAMARINES SUR,PILI (Capital),PH051728000,2
Region IV-A: CALABARZON,QUEZON,GUINAYANGAN,PH045618000,1
Region III: Central Luzon,BULACAN,BULACAN,PH031405000,3
Region I: Ilocos Region,PANGASINAN,NATIVIDAD,PH015529000,1
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),MIDSAYAP,PH124709000,2
Region III: Central Luzon,AURORA,BALER (Capital),PH037701000,1
Region III: Central Luzon,PAMPANGA,GUAGUA,PH035407000,5
Region II: Cagayan Valley,CAGAYAN,LASAM,PH021517000,4
Region V: Bicol Region,ALBAY,BACACAY,PH050501000,4
CARAGA,AGUSAN DEL NORTE,MAGALLANES,PH160208000,1
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,SINDANGAN,PH097218000,1
Region VI: Western Visayas,ILOILO,SARA,PH063044000,2
Region III: Central Luzon,BULACAN,CITY OF MALOLOS (Capital),PH031410000,7
BARMM,SULU,PATIKUL,PH156611000,1
Region V: Bicol Region,ALBAY,PIO DURAN,PH050513000,1
Region V: Bicol Region,SORSOGON,CASTILLA,PH056206000,1
Region VI: Western Visayas,ILOILO,SAN DIONISIO,PH063038000,3
Region XI: Davao Region,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,PH112317000,1
Region III: Central Luzon,NUEVA ECIJA,SANTA ROSA,PH034928000,4
Region II: Cagayan Valley,NUEVA VIZCAYA,BAMBANG,PH025004000,17
CAR,IFUGAO,KIANGAN,PH142703000,2
Region XI: Davao Region,DAVAO DEL SUR,CITY OF DIGOS (Capital),PH112403000,4
Region IV-A: CALABARZON,BATANGAS,CALACA,PH041007000,1
NCR,METRO MANILA,CITY OF LAS PINAS,PH137601000,28
Region VI: Western Visayas,ANTIQUE,SAN REMIGIO,PH060614000,3
Region IV-A: CALABARZON,RIZAL,SAN MATEO,PH045811000,8
Region III: Central Luzon,PAMPANGA,PORAC,PH035415000,4
Region VI: Western Visayas,ANTIQUE,BARBAZA,PH060602000,2
BARMM,MAGUINDANAO,TALITAY,PH153821000,1
CARAGA,AGUSAN DEL SUR,LA PAZ,PH160304000,1
CAR,APAYAO,CONNER,PH148102000,1
Region I: Ilocos Region,PANGASINAN,ASINGAN,PH015506000,1
Region XI: Davao Region,DAVAO ORIENTAL,LUPON,PH112507000,1
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),ALAMADA,PH124701000,2
Region IV-A: CALABARZON,QUEZON,SAN ANTONIO,PH045641000,2
Region IV-B: MIMAROPA,PALAWAN,QUEZON,PH175317000,1
Region I: Ilocos Region,LA UNION,SAN GABRIEL,PH013315000,1
Region I: Ilocos Region,PANGASINAN,MALASIQUI,PH015524000,3
Region II: Cagayan Valley,NUEVA VIZCAYA,VILLAVERDE,PH025014000,4
Region I: Ilocos Region,PANGASINAN,URBIZTONDO,PH015545000,1
Region VI: Western Visayas,NEGROS OCCIDENTAL,CADIZ CITY,PH064504000,1
Region IV-A: CALABARZON,RIZAL,BINANGONAN,PH045804000,1
Region II: Cagayan Valley,NUEVA VIZCAYA,KAYAPA,PH025010000,1
Region XI: Davao Region,DAVAO DEL NORTE,BRAULIO E. DUJALI,PH112323000,3
Region VII: Central Visayas,SIQUIJOR,LAZI,PH076103000,2
Region VI: Western Visayas,NEGROS OCCIDENTAL,MANAPLA,PH064518000,1
Region III: Central Luzon,BULACAN,SAN MIGUEL,PH031421000,3
Region II: Cagayan Valley,CAGAYAN,BUGUEY,PH021508000,5
Region XI: Davao Region,DAVAO DEL NORTE,SANTO TOMAS,PH112318000,2
Region V: Bicol Region,SORSOGON,JUBAN,PH056210000,3
Region V: Bicol Region,SORSOGON,CITY OF SORSOGON (Capital),PH056216000,6
Region XII: SOCCSKSARGEN,SOUTH COTABATO,CITY OF KORONADAL (Capital),PH126306000,2
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,PAYAO,PH098311000,1
Region VI: Western Visayas,ANTIQUE,HAMTIC,PH060608000,3
CARAGA,SURIGAO DEL NORTE,CLAVER,PH166706000,1
Region IV-A: CALABARZON,LAGUNA,MABITAC,PH043414000,1
Region VI: Western Visayas,NEGROS OCCIDENTAL,CITY OF SIPALAY,PH064527000,1
Region II: Cagayan Valley,CAGAYAN,ABULUG,PH021501000,4
Region X: Northern Mindanao,BUKIDNON,CITY OF VALENCIA,PH101321000,2
Region III: Central Luzon,BATAAN,LIMAY,PH030806000,5
Region VI: Western Visayas,ANTIQUE,BELISON,PH060603000,1
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,PH097332000,21
CARAGA,AGUSAN DEL SUR,SIBAGAT,PH160314000,1
Region X: Northern Mindanao,BUKIDNON,BAUNGON,PH101301000,1
BARMM,MAGUINDANAO,BULDON,PH153802000,1
Region III: Central Luzon,AURORA,SAN LUIS,PH037708000,1
Region IV-B: MIMAROPA,ORIENTAL MINDORO,GLORIA,PH175206000,2
Region III: Central Luzon,BATAAN,BAGAC,PH030802000,1
Region X: Northern Mindanao,MISAMIS ORIENTAL,LAGUINDINGAN,PH104314000,1
Region I: Ilocos Region,ILOCOS SUR,SANTA MARIA,PH012926000,1
Region V: Bicol Region,ALBAY,POLANGUI,PH050514000,1
Region II: Cagayan Valley,ISABELA,CITY OF CAUAYAN,PH023108000,4
Region IV-A: CALABARZON,LAGUNA,CITY OF SANTA ROSA,PH043428000,3
Region V: Bicol Region,CATANDUANES,SAN ANDRES (CALOLBON),PH052008000,1
CAR,BENGUET,TUBA,PH141113000,2
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,PLARIDEL,PH104212000,1
Region II: Cagayan Valley,CAGAYAN,GATTARAN,PH021513000,3
Region II: Cagayan Valley,CAGAYAN,SANTA ANA,PH021523000,1
Region III: Central Luzon,PAMPANGA,APALIT,PH035402000,2
Region IV-B: MIMAROPA,MARINDUQUE,MOGPOG,PH174004000,2
NCR,METRO MANILA,CALOOCAN CITY,PH137501000,45
Region I: Ilocos Region,ILOCOS NORTE,SARRAT,PH012821000,1
Region VI: Western Visayas,NEGROS OCCIDENTAL,TOBOSO,PH064529000,2
Region III: Central Luzon,PAMPANGA,MASANTOL,PH035412000,2
Region VI: Western Visayas,NEGROS OCCIDENTAL,LA CASTELLANA,PH064517000,2
Region XII: SOCCSKSARGEN,SOUTH COTABATO,LAKE SEBU,PH126319000,2
CAR,ABRA,BUCLOC,PH140104000,1
Region II: Cagayan Valley,CAGAYAN,BALLESTEROS,PH021507000,1
Region IV-A: CALABARZON,RIZAL,TANAY,PH045812000,3
CARAGA,AGUSAN DEL SUR,SAN FRANCISCO,PH160308000,1
Region II: Cagayan Valley,NUEVA VIZCAYA,SANTA FE,PH025012000,3
Region VI: Western Visayas,NEGROS OCCIDENTAL,MURCIA,PH064520000,5
Region VII: Central Visayas,CEBU,TABOGON,PH072248000,1
Region II: Cagayan Valley,CAGAYAN,TUGUEGARAO CITY (Capital),PH021529000,27
Region II: Cagayan Valley,NUEVA VIZCAYA,DUPAX DEL NORTE,PH025007000,6
Region III: Central Luzon,PAMPANGA,LUBAO,PH035408000,3
Region III: Central Luzon,NUEVA ECIJA,TALUGTUG,PH034931000,1
Region III: Central Luzon,ZAMBALES,MASINLOC,PH037106000,1
Region III: Central Luzon,BULACAN,CALUMPIT,PH031407000,2
Region VI: Western Visayas,GUIMARAS,JORDAN (Capital),PH067902000,2
Region II: Cagayan Valley,CAGAYAN,IGUIG,PH021515000,2
Region X: Northern Mindanao,BUKIDNON,LANTAPAN,PH101310000,1
Region II: Cagayan Valley,ISABELA,RAMON,PH023124000,4
Region XII: SOCCSKSARGEN,SARANGANI,MALUNGON,PH128007000,1
Region VIII: Eastern Visayas,LEYTE,ORMOC CITY,PH083738000,3
Region IV-B: MIMAROPA,ORIENTAL MINDORO,SOCORRO,PH175214000,1
Region VI: Western Visayas,ILOILO,CONCEPCION,PH063015000,2
Region III: Central Luzon,BATAAN,ABUCAY,PH030801000,1
Region VII: Central Visayas,CEBU,BALAMBAN,PH072208000,1
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,CALAMBA,PH104204000,1
CAR,BENGUET,MANKAYAN,PH141111000,2
Region III: Central Luzon,TARLAC,CAPAS,PH036904000,6
Region V: Bicol Region,CAMARINES NORTE,MERCEDES,PH051607000,3
Region III: Central Luzon,NUEVA ECIJA,BONGABON,PH034902000,1
Region V: Bicol Region,ALBAY,MANITO,PH050511000,1
Region IV-A: CALABARZON,LAGUNA,PAGSANJAN,PH043419000,4
Region IV-A: CALABARZON,CAVITE,CITY OF DASMARINAS,PH042106000,21
Region II: Cagayan Valley,QUIRINO,AGLIPAY,PH025701000,2
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,ALORAN,PH104201000,3
Region IV-A: CALABARZON,RIZAL,TAYTAY,PH045813000,5
Region IV-A: CALABARZON,LAGUNA,VICTORIA,PH043430000,1
Region IV-A: CALABARZON,BATANGAS,BATANGAS CITY (Capital),PH041005000,3
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),PIKIT,PH124712000,1
CAR,ABRA,PEnARRUBIA,PH140117000,1
Region VII: Central Visayas,CEBU,CITY OF TALISAY,PH072250000,4
Region X: Northern Mindanao,BUKIDNON,MARAMAG,PH101315000,6
Region X: Northern Mindanao,LANAO DEL NORTE,BALOI,PH103502000,2
Region III: Central Luzon,NUEVA ECIJA,RIZAL,PH034923000,2
Region IV-A: CALABARZON,CAVITE,GEN. MARIANO ALVAREZ,PH042123000,2
Region V: Bicol Region,CAMARINES SUR,BALATAN,PH051702000,1
Region IV-B: MIMAROPA,ORIENTAL MINDORO,CITY OF CALAPAN (Capital),PH175205000,1
Region V: Bicol Region,CAMARINES SUR,CANAMAN,PH051710000,1
Region I: Ilocos Region,PANGASINAN,SUAL,PH015542000,1
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,SIAY,PH098313000,1
Region IV-A: CALABARZON,RIZAL,ANGONO,PH045801000,3
Region III: Central Luzon,PAMPANGA,SANTO TOMAS,PH035421000,1
Region II: Cagayan Valley,NUEVA VIZCAYA,DUPAX DEL SUR,PH025008000,2
Region VI: Western Visayas,CAPIZ,DUMALAG,PH061903000,1
Region III: Central Luzon,TARLAC,SAN JOSE,PH036918000,1
Region VI: Western Visayas,NEGROS OCCIDENTAL,PONTEVEDRA,PH064521000,1
CARAGA,AGUSAN DEL NORTE,LAS NIEVES,PH160207000,1
Region III: Central Luzon,TARLAC,BAMBAN,PH036902000,3
Region V: Bicol Region,ALBAY,DARAGA (LOCSIN),PH050503000,5
Region IV-A: CALABARZON,CAVITE,NOVELETA,PH042116000,2
Region I: Ilocos Region,PANGASINAN,BAUTISTA,PH015510000,1
Region VI: Western Visayas,AKLAN,BANGA,PH060403000,2
Region I: Ilocos Region,PANGASINAN,LAOAC,PH015548000,2
Region VI: Western Visayas,ILOILO,PAVIA,PH063036000,2
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,DON VICTORIANO CHIONGBIAN (DON MARIANO MARCOS),PH104217000,1
Region V: Bicol Region,CAMARINES SUR,TINAMBAC,PH051737000,1
Region VI: Western Visayas,ILOILO,JANIUAY,PH063023000,1
Region VI: Western Visayas,ILOILO,DUEnAS,PH063017000,1
Region X: Northern Mindanao,MISAMIS ORIENTAL,OPOL,PH104321000,1
CAR,MOUNTAIN PROVINCE,BESAO,PH144403000,2
Region VI: Western Visayas,NEGROS OCCIDENTAL,CITY OF TALISAY,PH064528000,2
Region III: Central Luzon,PAMPANGA,BACOLOR,PH035404000,1
CARAGA,AGUSAN DEL SUR,TALACOGON,PH160311000,2
Region V: Bicol Region,CAMARINES SUR,MILAOR,PH051721000,3
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,BAGUMBAYAN,PH126501000,1
Region VII: Central Visayas,BOHOL,SIKATUNA,PH071241000,2
Region III: Central Luzon,PAMPANGA,MACABEBE,PH035410000,1
Region I: Ilocos Region,PANGASINAN,ALCALA,PH015504000,1
Region II: Cagayan Valley,ISABELA,PALANAN,PH023121000,1
Region III: Central Luzon,BULACAN,SAN ILDEFONSO,PH031419000,2
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,SABLAYAN,PH175109000,1
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),MAKILALA,PH124707000,2
Region IV-A: CALABARZON,CAVITE,ROSARIO,PH042117000,1
Region IV-A: CALABARZON,LAGUNA,CITY OF SAN PEDRO,PH043425000,5
Region VI: Western Visayas,AKLAN,LIBACAO,PH060409000,4
Region VII: Central Visayas,NEGROS ORIENTAL,VALENCIA (LUZURRIAGA),PH074623000,1
Region IV-A: CALABARZON,QUEZON,CALAUAG,PH045607000,1
Region II: Cagayan Valley,CAGAYAN,SOLANA,PH021527000,5
Region VII: Central Visayas,BOHOL,BACLAYON,PH071205000,1
Region I: Ilocos Region,PANGASINAN,BANI,PH015508000,1
Region V: Bicol Region,SORSOGON,DONSOL,PH056207000,2
Region V: Bicol Region,MASBATE,MOBO,PH054113000,2
Region III: Central Luzon,TARLAC,PANIQUI,PH036910000,2
Region VII: Central Visayas,CEBU,MOALBOAL,PH072233000,1
Region III: Central Luzon,ZAMBALES,PALAUIG,PH037108000,2
BARMM,LANAO DEL SUR,BUTIG,PH153607000,1
Region II: Cagayan Valley,NUEVA VIZCAYA,BAYOMBONG (Capital),PH025005000,9
NCR,METRO MANILA,CITY OF MAKATI,PH137602000,44
Region I: Ilocos Region,LA UNION,ARINGAY,PH013302000,1
CAR,IFUGAO,HUNGDUAN,PH142702000,1
Region I: Ilocos Region,LA UNION,SANTO TOMAS,PH013317000,1
Region I: Ilocos Region,LA UNION,SAN JUAN,PH013316000,1
Region X: Northern Mindanao,MISAMIS ORIENTAL,BALINGASAG,PH104302000,1
Region VIII: Eastern Visayas,LEYTE,BABATNGON,PH083705000,2
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,MAMBURAO (Capital),PH175106000,1
CAR,KALINGA,BALBALAN,PH143201000,1
Region IV-A: CALABARZON,LAGUNA,SANTA MARIA,PH043427000,1
Region I: Ilocos Region,ILOCOS NORTE,DINGRAS,PH012809000,1
Region III: Central Luzon,ZAMBALES,CANDELARIA,PH037103000,1
Region IV-A: CALABARZON,QUEZON,TIAONG,PH045648000,3
NCR,METRO MANILA,PASAY CITY,PH137605000,16
Region IV-A: CALABARZON,CAVITE,CITY OF GENERAL TRIAS,PH042108000,4
Region VII: Central Visayas,CEBU,COMPOSTELA,PH072218000,1
Region IV-A: CALABARZON,LAGUNA,LUMBAN,PH043413000,1
CAR,BENGUET,BAGUIO CITY,PH141102000,20
CAR,IFUGAO,ALFONSO LISTA (POTIA),PH142707000,2
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,DINAS,PH097306000,1
CARAGA,SURIGAO DEL NORTE,MAINIT,PH166714000,2
Region II: Cagayan Valley,CAGAYAN,CLAVERIA,PH021511000,2
Region XII: SOCCSKSARGEN,SOUTH COTABATO,TUPI,PH126317000,1
Region I: Ilocos Region,ILOCOS NORTE,VINTAR,PH012823000,3
CARAGA,SURIGAO DEL NORTE,SAN BENITO,PH166718000,1
Region VI: Western Visayas,ANTIQUE,TIBIAO,PH060617000,2
Region IV-A: CALABARZON,BATANGAS,BALAYAN,PH041003000,2
Region III: Central Luzon,TARLAC,CITY OF TARLAC (Capital),PH036916000,17
Region IV-B: MIMAROPA,PALAWAN,TAYTAY,PH175320000,1
Region VI: Western Visayas,NEGROS OCCIDENTAL,ISABELA,PH064514000,1
Region II: Cagayan Valley,ISABELA,SANTO TOMAS,PH023136000,1
Region X: Northern Mindanao,BUKIDNON,QUEZON,PH101317000,1
Region IV-B: MIMAROPA,PALAWAN,EL NIDO (BACUIT),PH175312000,1
Region IV-A: CALABARZON,CAVITE,KAWIT,PH042111000,2
Region IV-A: CALABARZON,CAVITE,BACOOR CITY,PH042103000,10
Region II: Cagayan Valley,NUEVA VIZCAYA,BAGABAG,PH025003000,4
Region IV-A: CALABARZON,QUEZON,QUEZON,PH045637000,1
Region XI: Davao Region,DAVAO ORIENTAL,CITY OF MATI (Capital),PH112509000,1
Region I: Ilocos Region,LA UNION,CITY OF SAN FERNANDO (Capital),PH013314000,7
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,CLARIN,PH104205000,2
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,POLANCO,PH097210000,1
CARAGA,SURIGAO DEL NORTE,SURIGAO CITY (Capital),PH166724000,1
CAR,APAYAO,KABUGAO (Capital),PH148104000,2
Region I: Ilocos Region,PANGASINAN,BINALONAN,PH015512000,4
Region III: Central Luzon,ZAMBALES,CASTILLEJOS,PH037104000,2
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,OROQUIETA CITY (Capital),PH104209000,3
Region IV-A: CALABARZON,LAGUNA,PILA,PH043422000,2
Region II: Cagayan Valley,ISABELA,GAMU,PH023113000,1
BARMM,MAGUINDANAO,DATU ABDULLAH SANGKI,PH153828000,2
Region II: Cagayan Valley,CAGAYAN,CAMALANIUGAN,PH021510000,5
Region III: Central Luzon,BULACAN,SAN RAFAEL,PH031422000,1
Region VII: Central Visayas,CEBU,CONSOLACION,PH072219000,1
Region X: Northern Mindanao,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),PH104305000,23
Region II: Cagayan Valley,NUEVA VIZCAYA,KASIBU,PH025009000,5
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),MATALAM,PH124708000,1
CARAGA,AGUSAN DEL SUR,BUNAWAN,PH160302000,2
Region VIII: Eastern Visayas,EASTERN SAMAR,MAYDOLONG,PH082615000,1
Region III: Central Luzon,NUEVA ECIJA,CARRANGLAN,PH034905000,2
Region V: Bicol Region,CAMARINES SUR,TIGAON,PH051736000,3
Region VI: Western Visayas,ILOILO,SAN JOAQUIN,PH063040000,2
Region I: Ilocos Region,PANGASINAN,ROSALES,PH015531000,2
Region I: Ilocos Region,ILOCOS SUR,SUYO,PH012932000,1
Region III: Central Luzon,TARLAC,GERONA,PH036906000,5
Region V: Bicol Region,ALBAY,CITY OF TABACO,PH050517000,6
CARAGA,SURIGAO DEL SUR,MADRID,PH166813000,2
Region V: Bicol Region,CAMARINES SUR,BAAO,PH051701000,2
Region I: Ilocos Region,ILOCOS NORTE,CITY OF BATAC,PH012805000,1
Region VI: Western Visayas,ANTIQUE,ANINI-Y,PH060601000,2
Region I: Ilocos Region,LA UNION,BACNOTAN,PH013303000,1
Region VII: Central Visayas,SIQUIJOR,SAN JUAN,PH076105000,1
Region XI: Davao Region,DAVAO DEL SUR,DAVAO CITY,PH112402000,56
Region IV-B: MIMAROPA,MARINDUQUE,BOAC (Capital),PH174001000,1
CAR,APAYAO,LUNA,PH148105000,1
Region X: Northern Mindanao,MISAMIS ORIENTAL,MAGSAYSAY (LINUGOS),PH104317000,1
Region III: Central Luzon,PAMPANGA,CITY OF SAN FERNANDO (Capital),PH035416000,12
Region VI: Western Visayas,NEGROS OCCIDENTAL,ILOG,PH064513000,1
Region II: Cagayan Valley,ISABELA,QUIRINO,PH023123000,1
Region VII: Central Visayas,NEGROS ORIENTAL,CITY OF TANJAY,PH074621000,1
Region III: Central Luzon,ZAMBALES,SANTA CRUZ,PH037113000,1
Region VI: Western Visayas,AKLAN,TANGALAN,PH060417000,1
Region IV-A: CALABARZON,QUEZON,CITY OF TAYABAS,PH045647000,7
Region VII: Central Visayas,NEGROS ORIENTAL,SAN JOSE,PH074617000,2
Region IV-A: CALABARZON,QUEZON,PADRE BURGOS,PH045629000,2
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),CARMEN,PH124702000,3
NCR,METRO MANILA,CITY OF MARIKINA,PH137402000,15
CAR,IFUGAO,ASIPULO,PH142711000,1
Region II: Cagayan Valley,ISABELA,SAN MARIANO,PH023131000,2
Region II: Cagayan Valley,CAGAYAN,AMULUNG,PH021504000,4
