Region,Province,CityMun,MuniPSGC,ActiveCases
Region V: Bicol Region,CAMARINES SUR,GAINZA,PH051713000,1
Region V: Bicol Region,CAMARINES SUR,NAGA CITY,PH051724000,3
Region III: Central Luzon,NUEVA ECIJA,QUEZON,PH034922000,2
Region III: Central Luzon,PAMPANGA,MEXICO,PH035413000,4
Region II: Cagayan Valley,NUEVA VIZCAYA,DIADI,PH025006000,1
Region II: Cagayan Valley,CAGAYAN,TUAO,PH021528000,5
Region II: Cagayan Valley,CAGAYAN,BAGGAO,PH021506000,1
Region III: Central Luzon,NUEVA ECIJA,GENERAL TINIO (PAPAYA),PH034910000,1
Region II: Cagayan Valley,ISABELA,ANGADANAN,PH023102000,1
NCR,METRO MANILA,QUEZON CITY,PH137404000,120
Region V: Bicol Region,CAMARINES SUR,LIBMANAN,PH051718000,2
Region IV-A: CALABARZON,QUEZON,SAN ANDRES,PH045640000,1
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),TULUNAN,PH124714000,2
Region III: Central Luzon,BULACAN,BUSTOS,PH031406000,3
Region IV-A: CALABARZON,QUEZON,DOLORES,PH045615000,2
Region III: Central Luzon,NUEVA ECIJA,ZARAGOZA,PH034932000,3
Region I: Ilocos Region,ILOCOS SUR,SANTIAGO,PH012927000,1
Region III: Central Luzon,TARLAC,ANAO,PH036901000,2
Region IV-A: CALABARZON,QUEZON,INFANTA,PH045620000,4
Region VI: Western Visayas,ANTIQUE,VALDERRAMA,PH060618000,3
NCR,METRO MANILA,TAGUIG CITY,PH137607000,20
Region V: Bicol Region,ALBAY,CAMALIG,PH050502000,4
Region III: Central Luzon,ZAMBALES,OLONGAPO CITY,PH037107000,14
Region VII: Central Visayas,BOHOL,TALIBON,PH071243000,2
Region IV-A: CALABARZON,CAVITE,NAIC,PH042115000,2
CARAGA,SURIGAO DEL SUR,TAGBINA,PH166817000,1
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,TUDELA,PH104216000,2
Region I: Ilocos Region,LA UNION,ROSARIO,PH013313000,1
Region IV-A: CALABARZON,BATANGAS,SAN JOSE,PH041022000,2
Region IV-A: CALABARZON,LAGUNA,ALAMINOS,PH043401000,1
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,CITY OF TACURONG,PH126511000,2
Region X: Northern Mindanao,LANAO DEL NORTE,MAGSAYSAY,PH103511000,1
CARAGA,SURIGAO DEL SUR,CANTILAN,PH166805000,2
Region V: Bicol Region,CAMARINES NORTE,LABO,PH051606000,1
Region III: Central Luzon,BULACAN,PAOMBONG,PH031416000,1
Region IV-A: CALABARZON,QUEZON,ATIMONAN,PH045603000,2
Region VI: Western Visayas,ILOILO,BATAD,PH063009000,1
Region IV-B: MIMAROPA,MARINDUQUE,GASAN,PH174003000,1
Region I: Ilocos Region,LA UNION,AGOO,PH013301000,2
Region II: Cagayan Valley,CAGAYAN,SANCHEZ-MIRA,PH021522000,2
Region V: Bicol Region,ALBAY,OAS,PH050512000,1
Region IV-A: CALABARZON,LAGUNA,PAETE,PH043418000,1
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),VILLAREAL,PH086021000,1
Region II: Cagayan Valley,ISABELA,NAGUILIAN,PH023120000,1
Region XI: Davao Region,DAVAO ORIENTAL,GOVERNOR GENEROSO,PH112506000,3
Region IV-A: CALABARZON,CAVITE,GENERAL EMILIO AGUINALDO,PH042107000,1
Region IV-A: CALABARZON,BATANGAS,BAUAN,PH041006000,2
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,MALANGAS,PH098308000,1
Region I: Ilocos Region,PANGASINAN,MANGATAREM,PH015527000,1
CARAGA,AGUSAN DEL SUR,LORETO,PH160305000,3
Region VII: Central Visayas,NEGROS ORIENTAL,DUMAGUETE CITY (Capital),PH074610000,6
Region V: Bicol Region,CAMARINES SUR,SIRUMA,PH051735000,1
Region V: Bicol Region,CAMARINES SUR,BATO,PH051703000,1
Region XI: Davao Region,DAVAO DEL SUR,MATANAO,PH112410000,3
NCR,METRO MANILA,CITY OF MANDALUYONG,PH137401000,16
Region IV-A: CALABARZON,RIZAL,CITY OF ANTIPOLO,PH045802000,33
Region III: Central Luzon,PAMPANGA,SANTA RITA,PH035420000,2
Region I: Ilocos Region,PANGASINAN,TAYUG,PH015543000,1
Region VII: Central Visayas,BOHOL,TUBIGON,PH071245000,2
Region V: Bicol Region,CAMARINES SUR,PASACAO,PH051727000,1
Region VIII: Eastern Visayas,LEYTE,LEYTE,PH083729000,1
Region III: Central Luzon,BATAAN,DINALUPIHAN,PH030804000,4
Region IV-B: MIMAROPA,PALAWAN,CULION,PH175322000,3
BARMM,MAGUINDANAO,GUINDULUNGAN,PH153825000,1
Region XI: Davao Region,DAVAO DEL NORTE,CITY OF TAGUM (Capital),PH112319000,6
Region II: Cagayan Valley,CAGAYAN,PEnABLANCA,PH021519000,1
Region IV-A: CALABARZON,BATANGAS,CUENCA,PH041009000,1
Region XI: Davao Region,DAVAO OCCIDENTAL,MALITA,PH118603000,1
Region IV-A: CALABARZON,QUEZON,LUCBAN,PH045623000,1
Region VI: Western Visayas,NEGROS OCCIDENTAL,HINOBA-AN (ASIA),PH064512000,1
Region VI: Western Visayas,ANTIQUE,LAUA-AN,PH060609000,3
Region III: Central Luzon,PAMPANGA,ARAYAT,PH035403000,6
Region I: Ilocos Region,ILOCOS SUR,CABUGAO,PH012905000,1
CARAGA,AGUSAN DEL NORTE,BUENAVISTA,PH160201000,1
Region I: Ilocos Region,PANGASINAN,CALASIAO,PH015517000,3
Region X: Northern Mindanao,MISAMIS ORIENTAL,NAAWAN,PH104320000,1
Region VI: Western Visayas,ILOILO,ESTANCIA,PH063019000,1
Region II: Cagayan Valley,ISABELA,CORDON,PH023109000,3
Region VI: Western Visayas,ILOILO,SANTA BARBARA,PH063043000,3
BARMM,MAGUINDANAO,AMPATUAN,PH153801000,1
Region XII: SOCCSKSARGEN,SARANGANI,ALABEL (Capital),PH128001000,1
CARAGA,AGUSAN DEL NORTE,CARMEN,PH160204000,1
Region VI: Western Visayas,AKLAN,MALINAO,PH060413000,1
BARMM,LANAO DEL SUR,DITSAAN-RAMAIN,PH153624000,1
Region II: Cagayan Valley,ISABELA,SAN AGUSTIN,PH023127000,1
Region VIII: Eastern Visayas,LEYTE,JAVIER (BUGHO),PH083724000,2
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,SAPANG DALAGA,PH104213000,1
Region I: Ilocos Region,PANGASINAN,SAN CARLOS CITY,PH015532000,3
CAR,BENGUET,LA TRINIDAD (Capital),PH141110000,5
Region II: Cagayan Valley,ISABELA,CITY OF SANTIAGO,PH023135000,20
Region II: Cagayan Valley,QUIRINO,NAGTIPUNAN,PH025706000,2
Region IV-B: MIMAROPA,PALAWAN,PUERTO PRINCESA CITY (Capital),PH175316000,8
Region VII: Central Visayas,BOHOL,ANTEQUERA,PH071204000,1
Region IV-A: CALABARZON,BATANGAS,ROSARIO,PH041021000,1
Region I: Ilocos Region,ILOCOS NORTE,BACARRA,PH012802000,4
Region II: Cagayan Valley,NUEVA VIZCAYA,ARITAO,PH025002000,10
Region V: Bicol Region,SORSOGON,BULUSAN,PH056204000,1
Region V: Bicol Region,SORSOGON,MAGALLANES,PH056211000,1
CAR,MOUNTAIN PROVINCE,TADIAN,PH144410000,2
CAR,BENGUET,BOKOD,PH141104000,1
NCR,METRO MANILA,CITY OF MUNTINLUPA,PH137603000,5
Region III: Central Luzon,ZAMBALES,SAN ANTONIO,PH037109000,1
